Name,Summary,Average Runtime,Premiere Date,Genres,Type,Language,Network,Rating,Schedule (days),Total Seasons,Total Episodes
All in the Family,"All in the Family centered around the Bunker family who lived in a home located at 704 Houser Street in Queens, New York. Archie Bunker was the main character, and what a character he was. He was televisons most famous bigot, crass and down right rude. Yet he was loveable, with a soft side just beneath the surface. Edith Bunker was his somewhat dizzy wife whom he called ""Dingbat"". Edith put up with Archie and had qualities about her that made her one of television's most unforgetable characters. Also living in the Bunker household were Archie and Edith's daughter, Gloria, and her husband Mike, or ""Meathead"".",30,4/8/1979,"['Comedy', 'Family']",Scripted,English,CBS,7.8,['Sunday'],9,210
Anne of Green Gables,"Anne Shirley is a girl raised in an orphanage. Anne is accidentally sent to Miss Marilla Cuthbert and Mr. Matt Cuthbert, who had originally requested a boy. Miss Marilla is surprised at first. After Marilla learns of Anne's sad past, Anne gradually becomes an irreplaceable member of the Cuthbert family.",30,12/30/1979,"['Drama', 'Anime']",Animation,Japanese,Fuji TV,7.8,['Sunday'],1,50
The Secret of Crickley Hall,"Chilling ghost story adapted from James Herbert's novel, telling both the story of the modern day haunting of a troubled family and the dark events buried in their new home's past.",60,12/2/2012,"['Drama', 'Horror', 'Mystery']",Scripted,English,BBC One,7.8,['Sunday'],1,3
The Assets,"The Assets is an eight-part limited series based on the real life events of CIA counter-intelligence officer Sandy Grimes. The year 1985 serves as the backdrop to the final showdown of the Cold War when Sandy and her partner Jeanne Vertefeuille vowed to find the mole who would turn out to be the most notorious traitor in US History, Aldrich Ames. Sandy is in a race against time to save the Soviet intelligence officers from being caught and killed. Living her own double life at home, this beautiful wife and mother vowed to stop at nothing until she uncovered the truth.",60,8/3/2014,['Thriller'],Scripted,English,ABC,7.8,['Sunday'],1,8
Children of Dune,"The spectacular epic that began in the Emmy Award-winning Frank Herbert's Dune mini-series continues in this dazzling new journey into sweeping interstellar intrigue and visionary sci-fi adventure! On the desert planet of Dune, the ancient prophecy has been fulfilled: the rule of the legendary Muad'dib has triggered a miraculous transformation of the arid wastelands. But as always, the Great Houses of the Empire are alive with rumors of conspiracy, plotting and betrayal. And when Muad'dib no longer wields absolute power as the Emperor, his young son Leto Atreides and daughter Ghanima face the prospect of a disastrous civil war on Arrakis - and chaos on a galactic scale. Now, with the future of the vital Spice trade in the balance, the destiny of humanity itself will depend on the courage, strength and otherworldly wisdom of The Children of Dune!",88,3/18/2003,"['Drama', 'Science-Fiction']",Scripted,English,Syfy,7.8,"['Monday', 'Tuesday', 'Sunday']",1,3
Babylon,Razor-sharp comedy drama that takes a wry look at the people and politics of London's police force. With James Nesbitt and Brit Marling.,65,12/18/2014,"['Drama', 'Comedy', 'Crime']",Scripted,English,Channel 4,7.8,['Thursday'],1,6
Hogan's Heroes,"Hogan's Heroes focuses on a group of American soldiers, led by Colonel Hogan, who are confined in a Nazi prisoner of war camp called Stalag 13 during World War II. While trapped in Stalag 13, the inmates conduct an espionage and sabotage campaign right under the noses of their warders. Because the Germans, led by the bumbling Colonel Wilhelm Klink, are often gullible, the real strength of Hogan's men are the elaborate ruses and sometimes dangerous lengths they will go to complete their mission.",30,4/4/1971,"['Comedy', 'War']",Scripted,English,CBS,7.8,['Sunday'],6,168
Wizards of Waverly Place,"Alex, Justin and Max Russo are not your ordinary kids - they're wizards in training! While their parents run the Waverly Sub Station, the siblings struggle to balance their ordinary lives while learning to master their extraordinary powers. But when they turn 18, only one will be deemed worthy enough to become the family wizard.",30,1/6/2012,"['Comedy', 'Family', 'Fantasy']",Scripted,English,Disney Channel,7.8,[],4,106
"Emily Owens, M.D.","At long last, Emily Owens feels like she is an actual grown-up. She can finally put her high school days as the geeky-girl-with-flop-sweats behind her; she's graduated from medical school and is now a first-year intern at Denver Memorial Hospital, where she'll have the chance to work with world-famous cardiologist Dr. Gina Beckett - and where, not-so-coincidentally, her med-school crush Will Rider is also an intern. So why does everyone keep warning her that the hospital is just like high school? Emily soon finds out the hard way - her high school nemesis, the gorgeous, popular Cassandra Kopelson, is also just starting out at Denver Memorial, and it seems like they're rivals all over again - not only as surgical interns, but for Will's attention. Fellow intern Tyra Granger warns Emily that the cliques at Denver Memorial are all too familiar: the jocks have become orthopedic surgeons; the mean girls are in plastics; the rebels are in the ER, and Tyra has her own awkward place as the principal's kid - her father is the chief resident. Emily's the new kid all over again, and it's just as awkward as high school. Only this time around, Emily will have to balance the personal and emotional turmoil of social politics with the high-stakes world of life-and-death medical decisions. At least she has fellow intern Tyra and nerdy-but-cute resident Micah, to count on as friends. Emily is growing to realize that although she may be a geek, she may also grow to be a great doctor, flop sweats and all.",60,2/5/2013,"['Drama', 'Comedy', 'Romance']",Scripted,English,The CW,7.8,[],1,13
Happy Days,"Set in Milwaukee, Wisconsin in the 1950's, Happy Days revolves around Richie Cunningham and his family and friends. A ""wholesome"" young man, Richie is a Jefferson High School student who would do anything to get a date and he spends plenty of time with his friends at Arnold's, the local burger joint. Contrasting with his wholesome nature is Arthur Fonzarelli, best known as Fonzie, a rough-around-the-edges motorcycle riding high school dropout famous for his slicked hair, leather jacket, and the catchphrase ""aaayyyy!"" Fonzie is a regular around the Cunningham house, with Mrs. Cunningham doting on him and Richie turning to him for advice on how to attract girls.",30,9/24/1984,['Comedy'],Scripted,English,ABC,7.8,['Tuesday'],11,255
A Bit of Fry and Laurie,"Stephen Fry and Hugh Laurie were among the most successful acts of the alternative comedy show Saturday Live/Friday Night Live and after a Christmas pilot in 1987, the BBC commissioned a series in 1989.""My father wouldn't have a television in the house, so we used to gather round every night and watch it on the lawn"".Fry and Laurie explored a seemingly inexhaustible list of subjects with a delicious turn of phrase and elaborate wordplay. The hilarity-included regular acts such as not so super spy Tony Mercheson and his boss Control, yuppies, John and Peter, as well as the concluding cocktail recipe to the accompaniment of Mr. Music with plenty of Vox Pops.",30,4/2/1995,['Comedy'],Scripted,English,BBC One,7.8,['Sunday'],4,25
Amazing Stories,"As one experience ends, another adventure begins… in the extraordinary worlds of Amazing Stories! From acclaimed director-producer Steven Spielberg and Amblin Entertainment comes the Emmy Award-winning TV series. Join a roster of cinema's most illustrious stars, including Kiefer Sutherland, Charlie Sheen, Tim Robbins, John Lithgow, Kevin Costner and more, as well as some of Hollywood's greatest directorial talents. Relive all the mesmerizing magic, mystery and suspense in these unique episodes from some of filmmaking's finest storytellers!",31,4/10/1987,"['Fantasy', 'Science-Fiction']",Scripted,English,NBC,7.8,['Friday'],2,45
Ascension,"In 1963 the American government begins a covert mission sending hundreds of people on a century long journey aboard the starship Ascension. Its goal: to populate a new world. Nearly 50 years into the trip, the murder of a young woman -- as Ascension approaches the point of no return -- prompts some to question the project.",120,12/17/2014,"['Drama', 'Science-Fiction']",Scripted,English,Syfy,7.8,"['Monday', 'Tuesday', 'Wednesday']",1,3
Crusade,"In 2267 the Earth is quarantined, having been infected with a deadly plague by an attacking alien force. Scientists estimate that it will kill every inhabitant within 5 years, not nearly enough time for a cure to be developed. So the planet's only hope lies with the Excalibur, an advanced prototype starship sent out to search ancient alien ruins for their former inhabitant's secrets, hoping that somewhere out there a cure can be found.",60,9/1/1999,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,TNT,7.8,['Wednesday'],1,13
